nice_class,term,n_marks,class_marks,share,band
1,fertilizers,482,11079,0.04351,Recommended
1,adhesives for use in industry,467,11079,0.04215,Recommended
1,biological preparations for use in industry and science,403,11079,0.03638,Some use this
1,"compost, manures, fertilizers",390,11079,0.0352,Some use this
1,tempering and soldering preparations,378,11079,0.03412,Some use this
1,fertilisers,368,11079,0.03322,Some use this
1,industrial chemicals,363,11079,0.03276,Some use this
1,"unprocessed artificial resins, unprocessed plastics",347,11079,0.03132,Some use this
1,chemical substances for preserving foodstuffs,301,11079,0.02717,Some use this
1,manures,296,11079,0.02672,Some use this
1,unprocessed plastics,287,11079,0.0259,Some use this
1,biostimulants for plants,276,11079,0.02491,Some use this
1,compost,268,11079,0.02419,Some use this
1,plant growth regulating preparations,264,11079,0.02383,Some use this
1,fire extinguishing compositions,257,11079,0.0232,Some use this
1,plant nutrients,253,11079,0.02284,Some use this
1,adhesives used in industry,246,11079,0.0222,Some use this
1,putties and other paste fillers,237,11079,0.02139,Some use this
1,hydrogen,235,11079,0.02121,Some use this
1,tanning substances,212,11079,0.01914,Some use this
1,adhesives for industrial purposes,202,11079,0.01823,Some use this
1,chemicals for use in industry,202,11079,0.01823,Some use this
1,fire extinguishing and fire prevention compositions,195,11079,0.0176,Some use this
1,plant food,191,11079,0.01724,Some use this
1,plant fertilizers,188,11079,0.01697,Some use this
1,chemical additives,186,11079,0.01679,Some use this
1,fertilizers for soil,186,11079,0.01679,Some use this
1,vitamins for use in the manufacture of food supplements,186,11079,0.01679,Some use this
1,substances for tanning animal skins and hides,180,11079,0.01625,Some use this
1,soil conditioners,179,11079,0.01616,Some use this
1,chemicals for use in industry and science,174,11079,0.01571,Some use this
1,chemicals for use in agriculture,171,11079,0.01543,Some use this
1,chemicals used in industry,170,11079,0.01534,Some use this
1,"synthetic resins, unprocessed",166,11079,0.01498,Some use this
1,proteins for use in the manufacture of food supplements,165,11079,0.01489,Some use this
1,organic fertilisers,163,11079,0.01471,Some use this
1,unprocessed artificial resins,161,11079,0.01453,Some use this
1,soil additives [fertilising],158,11079,0.01426,Some use this
1,organic fertilizers,155,11079,0.01399,Some use this
1,"chemicals used in agriculture, horticulture and forestry",152,11079,0.01372,Some use this
1,nutrients for plants,150,11079,0.01354,Some use this
