sic,nice_class,heading,frequency,band_label,n_marks,share,sic_total_marks
62012,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Always,Most use this,5353,0.706,7579
62012,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Always,Most use this,5214,0.688,7579
62012,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,2802,0.37,7579
62012,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Some use this,1585,0.209,7579
62012,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Sometimes,A few have this,941,0.124,7579
62012,45,Legal services; security services for the physical protection of tangible property and individuals; dating services; online social networking services; funeral services; babysitting.,Sometimes,A few have this,854,0.113,7579
62012,38,Telecommunications services.,Sometimes,A few have this,731,0.096,7579
62012,44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, aquaculture, horticulture and forestry services.",Sometimes,A few have this,485,0.064,7579
64191,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Always,Essential,2668,0.879,3034
64191,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Always,Recommended,1357,0.447,3034
64191,35,"Advertising; business management, business administration and consultancy, office functions.",Always,Recommended,1138,0.375,3034
64191,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks.",Sometimes,Recommended,884,0.291,3034
64191,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,Worth considering,565,0.186,3034
64191,38,Telecommunications services.,Sometimes,Worth considering,405,0.133,3034
64191,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Worth considering,369,0.122,3034
96020,44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, aquaculture, horticulture and forestry services.",Always,Essential,3444,0.554,6213
96020,3,"Non-medicated cosmetics and toiletry preparations; non-medicated dentifrices; perfumery, essential oils; bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations.",Always,Recommended,2907,0.468,6213
96020,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Worth considering,1051,0.169,6213
96020,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Worth considering,1047,0.169,6213
96020,26,"Lace, braid and embroidery, and haberdashery ribbons and bows; buttons, hooks and eyes, pins and needles; artificial flowers; hair decorations; false hair.",Sometimes,Worth considering,563,0.091,6213
96020,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,Worth considering,506,0.081,6213
62,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Always,Essential,47154,0.623,75736
62,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Always,Essential,42024,0.555,75736
62,35,"Advertising; business management, business administration and consultancy, office functions.",Always,Recommended,27232,0.36,75736
62,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Worth considering,18493,0.244,75736
62,38,Telecommunications services.,Sometimes,Worth considering,11801,0.156,75736
62,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Sometimes,Worth considering,9666,0.128,75736
62,45,Legal services; security services for the physical protection of tangible property and individuals; dating services; online social networking services; funeral services; babysitting.,Sometimes,Worth considering,6917,0.091,75736
20420,3,"Non-medicated cosmetics and toiletry preparations; non-medicated dentifrices; perfumery, essential oils; bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations.",Always,All use this,701,0.881,796
20420,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,196,0.246,796
20420,5,"Pharmaceuticals, medical and veterinary preparations; sanitary preparations for medical purposes; dietetic food and substances adapted for medical or veterinary use, food for babies; dietary supplements for human beings and animals; plasters, materials for dressings; material for stopping teeth, dental wax; disinfectants; preparations for destroying vermin; fungicides, herbicides.",Sometimes,Some use this,156,0.196,796
20420,4,"Industrial oils and greases, wax; lubricants; dust absorbing, wetting and binding compositions; fuels and illuminants; candles and wicks for lighting.",Sometimes,A few have this,118,0.148,796
20420,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,A few have this,92,0.116,796
20420,44,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, aquaculture, horticulture and forestry services.",Sometimes,A few have this,58,0.073,796
20420,25,"Clothing, footwear, headwear.",Sometimes,A few have this,48,0.06,796
20420,10,"Surgical, medical, dental and veterinary apparatus and instruments; artificial limbs, eyes and teeth; orthopaedic articles; suture materials; therapeutic and assistive devices adapted for persons with disabilities; massage apparatus; apparatus, devices and articles for nursing infants; sexual activity apparatus, devices and articles.",Sometimes,A few have this,44,0.055,796
11050,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Always,All use this,578,0.815,709
11050,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages.",Sometimes,Some use this,148,0.209,709
11050,43,Services for providing food and drink; temporary accommodation.,Sometimes,Some use this,118,0.166,709
11050,25,"Clothing, footwear, headwear.",Sometimes,A few have this,55,0.078,709
11050,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,A few have this,51,0.072,709
11050,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,A few have this,48,0.068,709
11010,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages.",Always,Essential,6749,0.901,7493
11010,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Sometimes,Worth considering,1244,0.166,7493
69202,35,"Advertising; business management, business administration and consultancy, office functions.",Always,Essential,801,0.68,1178
69202,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Sometimes,Recommended,302,0.256,1178
69202,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Sometimes,Worth considering,216,0.183,1178
69202,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Worth considering,162,0.138,1178
69202,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,Worth considering,113,0.096,1178
70229,35,"Advertising; business management, business administration and consultancy, office functions.",Always,Essential,17321,0.509,34038
70229,41,Education; providing of training; entertainment; sporting and cultural activities.,Always,Recommended,12587,0.37,34038
70229,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,Worth considering,7971,0.234,34038
70229,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Sometimes,Worth considering,7852,0.231,34038
70229,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Sometimes,Worth considering,4172,0.123,34038
70229,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks.",Sometimes,Worth considering,4002,0.118,34038
70229,45,Legal services; security services for the physical protection of tangible property and individuals; dating services; online social networking services; funeral services; babysitting.,Sometimes,Worth considering,2753,0.081,34038
73110,35,"Advertising; business management, business administration and consultancy, office functions.",Always,Essential,6573,0.673,9768
73110,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,Recommended,2875,0.294,9768
73110,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Recommended,2772,0.284,9768
73110,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Sometimes,Worth considering,2289,0.234,9768
73110,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks.",Sometimes,Worth considering,1122,0.115,9768
73110,38,Telecommunications services.,Sometimes,Worth considering,1040,0.106,9768
56101,43,Services for providing food and drink; temporary accommodation.,Always,All use this,1245,0.809,1539
56101,30,"Coffee, tea, cocoa and artificial coffee; rice, pasta and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; chocolate; ice cream, sorbets and other edible ices; sugar, honey, treacle; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments; ice (frozen water).",Sometimes,Some use this,418,0.272,1539
56101,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,355,0.231,1539
56101,29,"Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food.",Sometimes,Some use this,251,0.163,1539
56101,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Some use this,236,0.153,1539
56101,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Sometimes,A few have this,156,0.101,1539
56101,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages.",Sometimes,A few have this,127,0.083,1539
56101,25,"Clothing, footwear, headwear.",Sometimes,A few have this,127,0.083,1539
56101,39,Transport; packaging and storage of goods; travel arrangement.,Sometimes,A few have this,114,0.074,1539
56101,16,"Paper and cardboard; printed matter; bookbinding material; photographs; stationery and office requisites, except furniture; adhesives for stationery or household purposes; drawing materials and materials for artists; paintbrushes; instructional and teaching materials; plastic sheets, films and bags for wrapping and packaging; printers' type, printing blocks.",Sometimes,A few have this,108,0.07,1539
56101,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,A few have this,92,0.06,1539
69201,35,"Advertising; business management, business administration and consultancy, office functions.",Always,All use this,448,0.88,509
69201,36,"Financial, monetary and banking services; insurance services; real estate affairs.",Sometimes,Some use this,206,0.405,509
69201,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Some use this,85,0.167,509
69201,9,"Scientific, research, navigation, surveying, photographic, cinematographic, audiovisual, optical, weighing, measuring, signalling, detecting, testing, inspecting, life-saving and teaching apparatus and instruments; apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling the distribution or use of electricity; apparatus and instruments for recording, transmitting, reproducing or processing sound, images or data; recorded and downloadable media, computer software, blank digital or analogue recording and storage media; mechanisms for coin-operated apparatus; cash registers, calculating devices; computers and computer peripheral devices; diving suits, divers' masks, ear plugs for divers, nose clips for divers and swimmers, gloves for divers, breathing apparatus for underwater swimming; fire-extinguishing apparatus.",Sometimes,Some use this,77,0.151,509
69201,45,Legal services; security services for the physical protection of tangible property and individuals; dating services; online social networking services; funeral services; babysitting.,Sometimes,A few have this,69,0.136,509
69201,42,"Scientific and technological services and research and design relating thereto; industrial analysis, industrial research and industrial design services; quality control and authentication services; design and development of computer hardware and software.",Sometimes,A few have this,57,0.112,509
10710,30,"Coffee, tea, cocoa and artificial coffee; rice, pasta and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; chocolate; ice cream, sorbets and other edible ices; sugar, honey, treacle; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments; ice (frozen water).",Always,All use this,430,0.923,466
10710,29,"Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food.",Sometimes,Some use this,150,0.322,466
10710,43,Services for providing food and drink; temporary accommodation.,Sometimes,Some use this,125,0.268,466
10710,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,104,0.223,466
10710,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Sometimes,A few have this,30,0.064,466
11030,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages.",Always,All use this,180,0.909,198
11030,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Always,Most use this,110,0.556,198
11030,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,A few have this,17,0.086,198
11030,25,"Clothing, footwear, headwear.",Sometimes,A few have this,10,0.051,198
11030,21,"Household or kitchen utensils and containers; cookware and tableware, except forks, knives and spoons; combs and sponges; brushes, except paintbrushes; brush-making materials; articles for cleaning purposes; unworked or semi-worked glass, except building glass; glassware, porcelain and earthenware.",Sometimes,A few have this,10,0.051,198
11020,33,"Alcoholic beverages, except beers; alcoholic preparations for making beverages.",Always,All use this,103,0.88,117
11020,32,Beers; non-alcoholic beverages; mineral and aerated waters; fruit beverages and fruit juices; syrups and other non-alcoholic preparations for making beverages.,Sometimes,Some use this,41,0.35,117
11020,41,Education; providing of training; entertainment; sporting and cultural activities.,Sometimes,Some use this,24,0.205,117
11020,35,"Advertising; business management, business administration and consultancy, office functions.",Sometimes,Some use this,20,0.171,117
11020,43,Services for providing food and drink; temporary accommodation.,Sometimes,Some use this,18,0.154,117
11020,30,"Coffee, tea, cocoa and artificial coffee; rice, pasta and noodles; tapioca and sago; flour and preparations made from cereals; bread, pastries and confectionery; chocolate; ice cream, sorbets and other edible ices; sugar, honey, treacle; yeast, baking-powder; salt, seasonings, spices, preserved herbs; vinegar, sauces and other condiments; ice (frozen water).",Sometimes,A few have this,13,0.111,117
11020,31,"Raw and unprocessed agricultural, aquacultural, horticultural and forestry products; raw and unprocessed grains and seeds; fresh fruits and vegetables, fresh herbs; natural plants and flowers; bulbs, seedlings and seeds for planting; live animals; foodstuffs and beverages for animals; malt.",Sometimes,A few have this,11,0.094,117
11020,29,"Meat, fish, poultry and game; meat extracts; preserved, frozen, dried and cooked fruits and vegetables; jellies, jams, compotes; eggs; milk, cheese, butter, yogurt and other milk products; oils and fats for food.",Sometimes,A few have this,11,0.094,117
