sic,nice_class,term,frequency,band_label,n_marks,share
62012,9,computer software,Always,Most use this,725,0.29
62012,9,software,Always,Most use this,680,0.272
62012,9,application software,Always,Most use this,464,0.186
62012,9,software applications,Always,Most use this,412,0.165
62012,9,computer software applications,Always,Most use this,322,0.129
62012,9,enterprise software,Always,Most use this,308,0.123
62012,9,downloadable computer software,Always,Most use this,300,0.12
62012,9,computer software platforms,Sometimes,Some use this,297,0.119
62012,9,mobile software,Sometimes,Some use this,287,0.115
62012,9,business software,Sometimes,Some use this,287,0.115
62012,9,computer application software,Sometimes,Some use this,286,0.114
62012,9,mobile application software,Sometimes,Some use this,285,0.114
62012,9,platform software,Sometimes,Some use this,272,0.109
62012,9,downloadable software,Sometimes,Some use this,261,0.104
62012,9,software for computers,Sometimes,Some use this,247,0.099
62012,9,mobile apps,Sometimes,Some use this,246,0.098
62012,9,"computer software applications, downloadable",Sometimes,Some use this,228,0.091
62012,9,computer software programs,Sometimes,Some use this,218,0.087
62012,9,workflow software,Sometimes,Some use this,217,0.087
62012,9,downloadable computer software applications,Sometimes,Some use this,216,0.086
62012,9,computer software packages,Sometimes,Some use this,214,0.086
62012,9,artificial intelligence software,Sometimes,Some use this,206,0.082
62012,9,downloadable mobile applications,Sometimes,Some use this,200,0.08
62012,9,collaboration software platforms [software],Sometimes,Some use this,196,0.078
62012,9,smartphone software,Sometimes,Some use this,194,0.078
62012,42,software as a service [saas],Always,Most use this,500,0.2
62012,42,computer software development,Always,Most use this,333,0.133
62012,42,software development,Always,Most use this,317,0.127
62012,42,software as a service [saas] featuring software for machine learning,Always,Most use this,310,0.124
62012,42,software as a service,Always,Most use this,307,0.123
62012,42,platform as a service [paas],Sometimes,Some use this,288,0.115
62012,42,development of computer software,Sometimes,Some use this,275,0.11
62012,42,computer software integration,Sometimes,Some use this,269,0.108
62012,42,design and development of computer hardware and software,Sometimes,Some use this,259,0.104
62012,42,software as a service [saas] services,Sometimes,Some use this,258,0.103
62012,42,development of computer software application solutions,Sometimes,Some use this,250,0.1
62012,42,computer software consultancy,Sometimes,Some use this,247,0.099
62012,42,software engineering,Sometimes,Some use this,238,0.095
62012,42,software design,Sometimes,Some use this,231,0.092
62012,42,computer software design,Sometimes,Some use this,228,0.091
62012,42,platforms for artificial intelligence as software as a service [saas],Sometimes,Some use this,224,0.09
62012,42,development of software,Sometimes,Some use this,213,0.085
62012,42,computer software consulting,Sometimes,Some use this,190,0.076
62012,42,computer software engineering,Sometimes,Some use this,188,0.075
62012,42,development of computer hardware and software,Sometimes,Some use this,188,0.075
62012,42,design of software,Sometimes,Some use this,187,0.075
62012,42,consultancy (computer software -),Sometimes,Some use this,182,0.073
62012,42,computer software design services,Sometimes,Some use this,181,0.072
62012,42,design of computer software,Sometimes,Some use this,179,0.072
62012,42,developing computer software,Sometimes,Some use this,173,0.069
62012,35,advertising,Sometimes,Some use this,230,0.092
62012,35,data processing,Sometimes,Some use this,199,0.08
62012,35,business management,Sometimes,Some use this,183,0.073
62012,35,business data analysis,Sometimes,Some use this,172,0.069
62012,35,business administration,Sometimes,Some use this,151,0.06
62012,35,data management,Sometimes,Some use this,149,0.06
62012,35,business consultancy,Sometimes,Some use this,145,0.058
62012,35,office functions,Sometimes,Some use this,141,0.056
62012,35,database management,Sometimes,Some use this,139,0.056
62012,35,"advertising, marketing and promotional services",Sometimes,Some use this,136,0.054
62012,35,provision of an online marketplace for buyers and sellers of goods and services,Sometimes,Some use this,123,0.049
62012,35,marketing,Sometimes,Some use this,116,0.046
62012,35,advertising and marketing,Sometimes,Some use this,115,0.046
62012,35,data processing services,Sometimes,Some use this,109,0.044
62012,35,digital marketing,Sometimes,Some use this,108,0.043
62012,35,business consultancy services,Sometimes,Some use this,105,0.042
62012,35,marketing services,Sometimes,Some use this,102,0.041
62012,35,online marketing,Sometimes,Some use this,100,0.04
62012,35,business consultancy and advisory services,Sometimes,Some use this,100,0.04
62012,35,business consulting,Sometimes,A few have this,99,0.04
62012,35,business data analysis services,Sometimes,A few have this,96,0.038
62012,35,on-line advertising and marketing services,Sometimes,A few have this,95,0.038
62012,35,advertising and marketing services,Sometimes,A few have this,91,0.036
62012,35,analysis of business data,Sometimes,A few have this,89,0.036
62012,35,business marketing services,Sometimes,A few have this,86,0.034
62012,41,education,Always,Most use this,222,0.132
62012,41,education services,Sometimes,Some use this,125,0.074
62012,41,education and training services,Sometimes,Some use this,115,0.069
62012,41,providing of training,Sometimes,Some use this,111,0.066
62012,41,education and training,Sometimes,Some use this,108,0.064
62012,41,educational services,Sometimes,Some use this,101,0.06
62012,41,entertainment,Sometimes,Some use this,85,0.051
62012,41,training,Sometimes,Some use this,85,0.051
62012,41,online education services,Sometimes,Some use this,82,0.049
62012,41,entertainment services,Sometimes,Some use this,82,0.049
62012,41,training and education services,Sometimes,Some use this,70,0.042
62012,41,"education, teaching and training",Sometimes,A few have this,64,0.038
62012,41,training services,Sometimes,A few have this,62,0.037
62012,41,education information,Sometimes,A few have this,60,0.036
62012,41,education and training consultancy,Sometimes,A few have this,58,0.035
62012,41,coaching [training],Sometimes,A few have this,58,0.035
62012,41,health education,Sometimes,A few have this,54,0.032
62012,41,training courses,Sometimes,A few have this,52,0.031
62012,41,training consultancy,Sometimes,A few have this,49,0.029
62012,41,coaching,Sometimes,A few have this,48,0.029
62012,41,provision of training and education,Sometimes,A few have this,47,0.028
62012,41,educational and training services,Sometimes,A few have this,45,0.027
62012,41,computer education training,Sometimes,A few have this,44,0.026
62012,41,health and wellness training,Sometimes,A few have this,41,0.024
62012,41,provision of education and training,Sometimes,A few have this,41,0.024
62012,36,financial services,Always,Most use this,257,0.248
62012,36,electronic payment services,Sometimes,Some use this,109,0.105
62012,36,payment processing services,Sometimes,Some use this,101,0.098
62012,36,payment processing,Sometimes,Some use this,74,0.071
62012,36,financial data analysis,Sometimes,Some use this,73,0.071
62012,36,e-wallet payment services,Sometimes,Some use this,71,0.069
62012,36,financial management,Sometimes,Some use this,70,0.068
62012,36,financial analysis,Sometimes,Some use this,67,0.065
62012,36,processing of electronic payments,Sometimes,Some use this,66,0.064
62012,36,financial payment services,Sometimes,Some use this,66,0.064
62012,36,"financial transfers and transactions, and payment services",Sometimes,Some use this,63,0.061
62012,36,investment services,Sometimes,Some use this,62,0.06
62012,36,bill payment services,Sometimes,Some use this,60,0.058
62012,36,financial consultancy,Sometimes,Some use this,57,0.055
62012,36,financial transaction services,Sometimes,Some use this,53,0.051
62012,36,financial information,Sometimes,Some use this,53,0.051
62012,36,automated payment services,Sometimes,Some use this,52,0.05
62012,36,computerised financial data services,Sometimes,Some use this,52,0.05
62012,36,electronic processing of payments,Sometimes,Some use this,51,0.049
62012,36,electronic wallet services (payment services),Sometimes,Some use this,50,0.048
62012,36,banking services,Sometimes,Some use this,49,0.047
62012,36,banking and financial services,Sometimes,Some use this,49,0.047
62012,36,contactless payment services,Sometimes,Some use this,49,0.047
62012,36,processing of payment transactions via the internet,Sometimes,Some use this,48,0.046
62012,36,financial transactions via blockchain,Sometimes,Some use this,47,0.045
62012,45,licensing of computer software,Always,Most use this,150,0.165
62012,45,computer software licensing,Always,Most use this,146,0.16
62012,45,licensing of software,Always,Most use this,121,0.133
62012,45,online social networking services,Sometimes,Some use this,103,0.113
62012,45,software licensing.,Sometimes,Some use this,90,0.099
62012,45,software licensing,Sometimes,Some use this,76,0.084
62012,45,legal services,Sometimes,Some use this,71,0.078
62012,45,licensing of software.,Sometimes,Some use this,40,0.044
